what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1323147374095
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1323147374189
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1323147374191
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1323147374918
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1323147377031
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1323147378481
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1323147378699
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1323147378772
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147387010
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147400323
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147401673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147568552
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147571831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147575320
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.help.aboutAction,1323147575339
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147576179
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147623162
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147626306
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147627961
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.help.aboutAction,1323147627977
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147634598
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147646632
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147650872
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1323147657729
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1323147658025
