what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1323146242864
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1323146242864
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1323146242864
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1323146243535
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1323146244378
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1323146244378
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1323146244549
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1323146244674
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1323146245454
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1323146629366
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1323146629377
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1323146629403
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146632202
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146658685
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146662093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146682946
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1323146682962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146685724
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146708871
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1323146708882
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146714019
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146719860
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323146722508
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147275209
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1323147278098
